    PID TTY      STAT   TIME COMMAND
    247 ?        S      0:00 [scsi_eh_26]
    248 ?        I<     0:00 [scsi_tmf_26]
    249 ?        S      0:00 [scsi_eh_27]
    250 ?        I<     0:00 [scsi_tmf_27]
    251 ?        S      0:00 [scsi_eh_28]
    252 ?        I<     0:00 [scsi_tmf_28]
    253 ?        S      0:00 [scsi_eh_29]
    254 ?        I<     0:00 [scsi_tmf_29]
    255 ?        S      0:00 [scsi_eh_30]
    256 ?        I<     0:00 [scsi_tmf_30]
    257 ?        S      0:00 [scsi_eh_31]
    258 ?        I<     0:00 [scsi_tmf_31]
    286 ?        S      0:00 [scsi_eh_32]
    287 ?        I<     0:00 [scsi_tmf_32]
    309 ?        S      0:00 [jbd2/sda5-8]
    310 ?        I<     0:00 [ext4-rsv-conver]
    350 ?        S<s    0:01 /lib/systemd/systemd-journald
    376 ?        Ss     0:00 /lib/systemd/systemd-udevd
    380 ?        S<     0:00 [loop0]
    388 ?        S<     0:00 [loop2]
    392 ?        S<     0:00 [loop3]
    405 ?        S<     0:00 [loop5]
    410 ?        S<     0:00 [loop6]
    415 ?        S<     0:00 [loop8]
    416 ?        S<     0:00 [loop9]
    417 ?        S<     0:00 [loop10]
    428 ?        S      0:08 [irq/16-vmwgfx]
    430 ?        I<     0:00 [ttm_swap]
    431 ?        S      0:00 [card0-crtc0]
    432 ?        S      0:00 [card0-crtc1]
    433 ?        S      0:00 [card0-crtc2]
    434 ?        S      0:00 [card0-crtc3]
    435 ?        S      0:00 [card0-crtc4]
    437 ?        S      0:00 [card0-crtc5]
    438 ?        S      0:00 [card0-crtc6]
    439 ?        S      0:00 [card0-crtc7]
    453 ?        I<     0:00 [cryptd]
    642 ?        Ss     0:01 /lib/systemd/systemd-resolved
    643 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    672 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    673 ?        Ss     0:00 /usr/sbin/acpid
    676 ?        Ss     0:00 avahi-daemon: running [god-virtual-machine.local]
    677 ?        Ss     0:00 /usr/sbin/cron -f
    679 ?        Ss     0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    682 ?        Ssl    0:17 /usr/sbin/NetworkManager --no-daemon
    691 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
    697 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    701 ?        Ssl    0:01 /usr/lib/policykit-1/polkitd --no-debug
    703 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
    704 ?        Ssl    0:15 /usr/lib/snapd/snapd
    711 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    713 ?        Ss     0:00 /lib/systemd/systemd-logind
    719 ?        Ssl    0:00 /usr/lib/udisks2/udisksd
    720 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    733 ?        S      0:00 avahi-daemon: chroot helper
    765 ?        Ss     0:00 /usr/sbin/cupsd -l
    774 ?        Ssl    0:00 /usr/sbin/ModemManager --filter-policy=strict
